Symbol;Security;GICS_Sector;GICS Sub Industry;Location;Date first added;CIK;Founded
PPG;PPG Industries;Materials;Specialty Chemicals;Pittsburgh, Pennsylvania;;79879;1883
PPL;PPL Corp.;Utilities;Electric Utilities;Allentown, Pennsylvania;;922224;
PFG;Principal Financial Group;Financials;Life & Health Insurance;Des Moines, Iowa;22/07/02;1126328;
PG;Procter & Gamble;Consumer Staples;Personal Products;Cincinnati, Ohio;;80424;1837
PGR;Progressive Corp.;Financials;Property & Casualty Insurance;Mayfield Village, Ohio;04/08/97;80661;
PLD;Prologis;Real Estate;Industrial REITs;San Francisco, California;17/07/03;1045609;
PRU;Prudential Financial;Financials;Life & Health Insurance;Newark, New Jersey;22/07/02;1137774;
PEG;Public Serv. Enterprise Inc.;Utilities;Electric Utilities;Newark, New Jersey;;788784;
PSA;Public Storage;Real Estate;Specialized REITs;Glendale, California;19/08/05;1393311;
PHM;Pulte Homes Inc.;Consumer Discretionary;Homebuilding;Atlanta, Georgia;30/04/84;822416;
PVH;PVH Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;New York, New York;15/02/13;78239;
QRVO;Qorvo;Information Technology;Semiconductors;Greensboro, North Carolina;11/06/15;1604778;
PWR;Quanta Services Inc.;Industrials;Construction & Engineering;Houston, Texas;01/07/09;1050915;
QCOM;QUALCOMM Inc.;Information Technology;Semiconductors;San Diego, California;;804328;1985
DGX;Quest Diagnostics;Health Care;Health Care Services;Madison, New Jersey;12/12/02;1022079;
RJF;Raymond James Financial Inc.;Financials;Investment Banking & Brokerage;St. Petersburg, Florida;20/03/17;720005;
RTN;Raytheon Co.;Industrials;Aerospace & Defense;Waltham, Massachusetts;;1047122;1922
O;Realty Income Corporation;Real Estate;Retail REITs;San Diego, California;07/04/15;726728;
RHT;Red Hat Inc.;Information Technology;Systems Software;Raleigh, North Carolina;27/07/09;1087423;
REG;Regency Centers Corporation;Real Estate;Retail REITs;Jacksonville, Florida;02/03/17;910606;
REGN;Regeneron;Health Care;Biotechnology;Tarrytown, New York;01/05/13;872589;
RF;Regions Financial Corp.;Financials;Regional Banks;Birmingham, Alabama;28/08/98;1281761;
RSG;Republic Services Inc;Industrials;Environmental & Facilities Services;Phoenix, Arizona;05/12/08;1060391;
RMD;ResMed;Health Care;Health Care Equipment;San Diego, California;26/07/17;943819;
RHI;Robert Half International;Industrials;Human Resource & Employment Services;Menlo Park, California;05/12/00;315213;
ROK;Rockwell Automation Inc.;Industrials;Electrical Components & Equipment;Milwaukee, Wisconsin;;1024478;
ROL;Rollins Inc.;Industrials;Environmental & Facilities Services;Atlanta, Georgia;01/10/18;84839;1948
ROP;Roper Technologies;Industrials;Industrial Conglomerates;Sarasota, Florida;23/12/09;882835;
ROST;Ross Stores;Consumer Discretionary;Apparel Retail;Pleasanton, California;21/12/09;745732;
RCL;Royal Caribbean Cruises Ltd;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Miami, Florida;05/12/14;884887;
CRM;Salesforce.com;Information Technology;Internet Software & Services;San Francisco, California;15/09/08;1108524;
SBAC;SBA Communications;Real Estate;Specialized REITs;Boca Raton, Florida;01/09/17;1034054;
SCG;SCANA Corp;Utilities;Multi-Utilities;Cayce, South Carolina;02/01/09;754737;
SLB;Schlumberger Ltd.;Energy;Oil & Gas Equipment & Services;Curaçao, Kingdom of the Netherlands;31/03/65;87347;1926
STX;Seagate Technology;Information Technology;Technology Hardware, Storage & Peripherals;Dublin, Ireland;02/07/12;1137789;
SEE;Sealed Air;Materials;Paper Packaging;Elmwood Park, New Jersey;;1012100;
SRE;Sempra Energy;Utilities;Multi-Utilities;San Diego, California;;1032208;
SHW;Sherwin-Williams;Materials;Specialty Chemicals;Cleveland, Ohio;30/06/64;89800;1866
SPG;Simon Property Group Inc;Real Estate;Retail REITs;Indianapolis, Indiana;26/06/02;1063761;
SWKS;Skyworks Solutions;Information Technology;Semiconductors;Woburn, Massachusetts;12/03/15;4127;
SLG;SL Green Realty;Real Estate;Office REITs;New York, New York;20/03/15;1040971;
SNA;Snap-on;Industrials;Industrial Machinery;Kenosha, Wisconsin;30/09/82;91440;
SO;Southern Co.;Utilities;Electric Utilities;Atlanta, Georgia;;92122;
LUV;Southwest Airlines;Industrials;Airlines;Dallas, Texas;01/07/94;92380;
SPGI;S&P Global, Inc.;Financials;Financial Exchanges & Data;New York, New York;;64040;
SWK;Stanley Black & Decker;Industrials;Industrial Machinery;New Britain, Connecticut;30/09/82;93556;
SBUX;Starbucks Corp.;Consumer Discretionary;Restaurants;Seattle, Washington;;829224;1971
STT;State Street Corp.;Financials;Asset Management & Custody Banks;Boston, Massachusetts;;93751;
SYK;Stryker Corp.;Health Care;Health Care Equipment;Kalamazoo, Michigan;12/12/00;310764;
STI;SunTrust Banks;Financials;Regional Banks;Atlanta, Georgia;31/05/88;750556;
SIVB;SVB Financial;Financials;Regional Banks;Santa Clara, California;19/03/18;719739;
SYMC;Symantec Corp.;Information Technology;Application Software;Mountain View, California;25/03/03;849399;
SYF;Synchrony Financial;Financials;Consumer Finance;Stamford, Connecticut;18/11/15;1601712;
SNPS;Synopsys Inc.;Information Technology;Application Software;Mountain View, California;16/03/17;883241;
SYY;Sysco Corp.;Consumer Staples;Food Distributors;Houston, Texas;31/12/86;96021;
TROW;T. Rowe Price Group;Financials;Asset Management & Custody Banks;Baltimore, Maryland;;1113169;1937
TTWO;Take-Two Interactive;Communication Services;Interactive Home Entertainment;New York, New York;19/03/18;946581;
TPR;Tapestry, Inc.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;New York, New York;;1116132;2017
TGT;Target Corp.;Consumer Discretionary;General Merchandise Stores;Minneapolis, Minnesota;31/12/76;27419;
TEL;TE Connectivity Ltd.;Information Technology;Electronic Manufacturing Services;Schaffhausen, Switzerland;17/10/11;1385157;
FTI;TechnipFMC;Energy;Oil & Gas Equipment & Services;London, United Kingdom;05/06/09;1681459;
TXN;Texas Instruments;Information Technology;Semiconductors;Dallas, Texas;;97476;1930
TXT;Textron Inc.;Industrials;Aerospace & Defense;Providence, Rhode Island;31/12/78;217346;
TMO;Thermo Fisher Scientific;Health Care;Health Care Equipment;Waltham, Massachusetts;;97745;2006
TIF;Tiffany & Co.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;New York, New York;21/06/00;98246;
TWTR;Twitter, Inc.;Communication Services;Interactive Media & Services;San Francisco, California;07/06/18;1418091;2006
TJX;TJX Companies Inc.;Consumer Discretionary;Apparel Retail;Framingham, Massachusetts;30/09/85;109198;
TMK;Torchmark Corp.;Financials;Life & Health Insurance;McKinney, Texas;30/04/89;320335;
TSS;Total System Services;Information Technology;Internet Software & Services;Columbus, Georgia;02/01/08;721683;
TSCO;Tractor Supply Company;Consumer Discretionary;Specialty Stores;Brentwood, Tennessee;24/01/14;916365;
TDG;TransDigm Group;Industrials;Aerospace & Defense;Cleveland, Ohio;03/06/16;1260221;
TRV;The Travelers Companies Inc.;Financials;Property & Casualty Insurance;New York, New York;21/08/02;86312;
TRIP;TripAdvisor;Communication Services;Interactive Media & Services;Newton, Massachusetts;21/12/11;1526520;
FOXA;Twenty-First Century Fox Class A;Communication Services;Movies & Entertainment;New York, New York;01/07/13;1308161;
FOX;Twenty-First Century Fox Class B;Communication Services;Movies & Entertainment;New York, New York;18/09/15;1308161;
TSN;Tyson Foods;Consumer Staples;Packaged Foods & Meats;Springdale, Arkansas;;100493;
UDR;UDR Inc;Real Estate;Residential REITs;Highlands Ranch, Colorado;07/03/16;74208;
ULTA;Ulta Beauty;Consumer Discretionary;Specialty Stores;Bolingbrook, Illinois;18/04/16;1403568;
USB;U.S. Bancorp;Financials;Diversified Banks;Minneapolis, Minnesota;;36104;1968
UAA;Under Armour Class A;Consumer Discretionary;Apparel, Accessories & Luxury Goods;Baltimore, Maryland;25/03/16;1336917;
UA;Under Armour Class C;Consumer Discretionary;Apparel, Accessories & Luxury Goods;Baltimore, Maryland;01/05/14;1336917;
UNP;Union Pacific;Industrials;Railroads;Omaha, Nebraska;;100885;
UAL;United Continental Holdings;Industrials;Airlines;Chicago, Illinois;03/09/15;100517;
UNH;United Health Group Inc.;Health Care;Managed Health Care;Minnetonka, Minnesota;01/07/94;731766;
UPS;United Parcel Service;Industrials;Air Freight & Logistics;Atlanta, Georgia;22/07/02;1090727;
URI;United Rentals, Inc.;Industrials;Trading Companies & Distributors;Stamford, Connecticut;20/09/14;1067701;
UTX;United Technologies;Industrials;Aerospace & Defense;Hartford, Connecticut;;101829;
UHS;Universal Health Services, Inc.;Health Care;Health Care Facilities;King of Prussia, Pennsylvania;20/09/14;352915;
UNM;Unum Group;Financials;Life & Health Insurance;Chattanooga, Tennessee;01/03/94;5513;
VFC;V.F. Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;Greensboro, North Carolina;30/06/79;103379;
VLO;Valero Energy;Energy;Oil & Gas Refining & Marketing;San Antonio, Texas;;1035002;1980
VAR;Varian Medical Systems;Health Care;Health Care Equipment;Palo Alto, California;12/02/07;203527;
VTR;Ventas Inc;Real Estate;Health Care REITs;Chicago, Illinois;04/03/09;740260;
VRSN;Verisign Inc.;Information Technology;Internet Services & Infrastructure;Dulles, Virginia;01/02/06;1014473;
VRSK;Verisk Analytics;Industrials;Research & Consulting Services;Jersey City, New Jersey;08/10/15;1442145;
VZ;Verizon Communications;Communication Services;Integrated Telecommunication Services;New York, New York;30/11/83;732712;
VRTX;Vertex Pharmaceuticals Inc;Health Care;Biotechnology;Cambridge, Massachusetts;23/09/13;875320;
VIAB;Viacom Inc.;Communication Services;Movies & Entertainment;New York, New York;;1339947;
V;Visa Inc.;Information Technology;Internet Software & Services;San Francisco, California;21/12/09;1403161;
VNO;Vornado Realty Trust;Real Estate;Office REITs;New York, New York;;899689;
VMC;Vulcan Materials;Materials;Construction Materials;Birmingham, Alabama;30/06/99;1396009;
WMT;Walmart;Consumer Staples;Hypermarkets & Super Centers;Bentonville, Arkansas;31/08/82;104169;
WBA;Walgreens Boots Alliance;Consumer Staples;Drug Retail;Deerfield, Illinois;31/12/79;1618921;
DIS;The Walt Disney Company;Communication Services;Movies & Entertainment;Burbank, California;30/06/76;1001039;
WM;Waste Management Inc.;Industrials;Environmental & Facilities Services;Houston, Texas;;823768;1968
WAT;Waters Corporation;Health Care;Health Care Distributors;Milford, Massachusetts;;1000697;1958
WEC;Wec Energy Group Inc;Utilities;Electric Utilities;Milwaukee, Wisconsin;31/10/08;783325;
WCG;WellCare;Health Care;Managed Health Care;Tampa, Florida;1985;1279363;
WFC;Wells Fargo;Financials;Diversified Banks;San Francisco, California;30/06/76;72971;
WELL;Welltower Inc.;Real Estate;Health Care REITs;Toledo, Ohio;30/01/09;766704;
WDC;Western Digital;Information Technology;Technology Hardware, Storage & Peripherals;Irvine, California;01/07/09;106040;
WU;Western Union Co;Information Technology;Internet Software & Services;Englewood, Colorado;;1365135;1851
WRK;WestRock;Materials;Paper Packaging;Richmond, Virginia;;1636023;
WY;Weyerhaeuser;Real Estate;Specialized REITs;Federal Way, Washington;;106535;
WHR;Whirlpool Corp.;Consumer Discretionary;Household Appliances;Benton Harbor, Michigan;;106640;1911
WMB;Williams Cos.;Energy;Oil & Gas Storage & Transportation;Tulsa, Oklahoma;31/03/75;107263;
WLTW;Willis Towers Watson;Financials;Insurance Brokers;London, United Kingdom;05/01/16;1140536;
WYNN;Wynn Resorts Ltd;Consumer Discretionary;Casinos & Gaming;Paradise, Nevada;14/11/08;1174922;
XEL;Xcel Energy Inc;Utilities;Multi-Utilities;Minneapolis, Minnesota;;72903;1909
XRX;Xerox;Information Technology;Technology Hardware, Storage & Peripherals;Norwalk, Connecticut;;108772;1906
XLNX;Xilinx;Information Technology;Semiconductors;San Jose, California;08/11/99;743988;
XYL;Xylem Inc.;Industrials;Industrial Machinery;White Plains, New York;01/11/11;1524472;
YUM;Yum! Brands Inc;Consumer Discretionary;Restaurants;Louisville, Kentucky;06/10/97;1041061;
ZBH;Zimmer Biomet Holdings;Health Care;Health Care Equipment;Warsaw, Indiana;07/08/01;1136869;
ZION;Zions Bancorp;Financials;Regional Banks;Salt Lake City, Utah;22/06/01;109380;
ZTS;Zoetis;Health Care;Pharmaceuticals;Florham Park, New Jersey;21/06/13;1555280;
